200
400,800
412.564,799.803
425.116,799.211
437.643,798.225
450.133,796.846
462.574,795.075
474.953,792.915
487.257,790.367
499.476,787.433
511.596,784.117
523.607,780.423
535.495,776.352
547.25,771.911
558.859,767.102
570.312,761.931
581.596,756.403
592.701,750.523
603.617,744.297
614.331,737.731
624.833,730.832
635.114,723.607
645.163,716.062
654.97,708.205
664.525,700.044
673.819,691.587
682.843,682.843
691.587,673.819
700.044,664.525
708.205,654.97
716.062,645.163
723.607,635.114
730.832,624.833
737.731,614.331
744.297,603.617
750.523,592.701
756.403,581.596
761.931,570.312
767.102,558.859
771.911,547.25
776.352,535.495
780.423,523.607
784.117,511.596
787.433,499.476
790.367,487.257
792.915,474.952
795.075,462.574
796.846,450.133
798.225,437.643
799.211,425.116
799.803,412.564
800,400
799.803,387.436
799.211,374.884
798.225,362.357
796.846,349.867
795.075,337.426
792.915,325.047
790.367,312.743
787.433,300.524
784.117,288.404
780.423,276.393
776.352,264.505
771.911,252.75
767.102,241.141
761.931,229.688
756.403,218.404
750.523,207.298
744.297,196.383
737.731,185.669
730.832,175.167
723.607,164.886
716.062,154.837
708.205,145.03
700.044,135.475
691.587,126.181
682.843,117.157
673.819,108.413
664.525,99.9556
654.97,91.7947
645.163,83.938
635.114,76.3932
624.833,69.1678
614.331,62.2688
603.617,55.7032
592.701,49.4773
581.596,43.5974
570.312,38.0692
558.859,32.8981
547.25,28.0894
535.495,23.6477
523.607,19.5774
511.596,15.8825
499.476,12.5667
487.257,9.63327
474.952,7.08508
462.574,4.92465
450.133,3.15411
437.643,1.77521
425.116,0.789307
412.564,0.197388
400,0
387.436,0.197388
374.884,0.789307
362.357,1.77521
349.867,3.15414
337.426,4.92468
325.047,7.08511
312.743,9.6333
300.524,12.5668
288.403,15.8825
276.393,19.5774
264.505,23.6477
252.75,28.0894
241.141,32.8982
229.688,38.0692
218.404,43.5974
207.298,49.4774
196.383,55.7032
185.669,62.2689
175.167,69.1678
164.886,76.3932
154.837,83.938
145.03,91.7947
135.475,99.9556
126.181,108.413
117.157,117.157
108.413,126.181
99.9555,135.475
91.7946,145.03
83.9379,154.837
76.3932,164.886
69.1677,175.167
62.2688,185.669
55.7031,196.384
49.4773,207.299
43.5974,218.404
38.0691,229.688
32.8981,241.141
28.0894,252.75
23.6476,264.505
19.5774,276.393
15.8825,288.404
12.5667,300.524
9.63324,312.743
7.08505,325.048
4.92462,337.426
3.15408,349.867
1.77521,362.357
0.789307,374.884
0.197357,387.436
0,400
0.197388,412.564
0.789307,425.116
1.77521,437.643
3.15411,450.133
4.92468,462.574
7.08511,474.953
9.6333,487.257
12.5668,499.476
15.8825,511.596
19.5774,523.607
23.6477,535.495
28.0894,547.25
32.8982,558.859
38.0692,570.312
43.5974,581.596
49.4774,592.702
55.7032,603.617
62.2689,614.331
69.1678,624.833
76.3933,635.114
83.9381,645.163
91.7948,654.97
99.9557,664.525
108.413,673.819
117.157,682.843
126.181,691.588
135.475,700.045
145.031,708.205
154.837,716.062
164.886,723.607
175.167,730.832
185.669,737.731
196.384,744.297
207.299,750.523
218.404,756.403
229.688,761.931
241.141,767.102
252.75,771.911
264.505,776.352
276.393,780.423
288.404,784.118
300.524,787.433
312.743,790.367
325.048,792.915
337.426,795.075
349.867,796.846
362.357,798.225
374.884,799.211
387.436,799.803
